geom,scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
"POINT (-48.8016498165616 -26.2242941374785)","8",Airport,mid,Joinville-Lauro C. de Loyola,JOI,terminal,SBJV,JOI,http://en.wikipedia.org/wiki/Joinville-Lauro_Carneiro_de_Loyola_Airport,10.000,,Q1321142,,,Flughafen Lauro Carneiro De Loyola,Joinville-Lauro Carneiro de Loyola Airport,,,,,,,,ジョインビレ,,Luchthaven Joinville,,Aeroporto de Joinville,,Joinville,,Sân bay Joinville-Lauro Carneiro de Loyola,,"4","1159118499"
"POINT (-34.9488925911125 -7.14617462402047)","8",Airport,mid,Presidente Castro Pinto Int'l,JPA,terminal,SBJP,JPA,http://en.wikipedia.org/wiki/Presidente_Castro_Pinto_International_Airport,10.000,,Q2876050,,,Flughafen Presidente Castro Pinto,Presidente Castro Pinto International Airport,Aeropuerto Internacional Castro Pinto,aéroport international Presidente Castro Pinto,,,,,,ジョアンペソア,,Aeroporto Internacional Presidente Castro Pinto,,Aeroporto Internacional Presidente Castro Pinto,,Presidente Castro Pinto International Airport,,Sân bay quốc tế Presidente Castro Pinto,,"4","1159118513"
"POINT (-35.2488410165389 -5.89912054477116)","8",Airport,major,Augusto Severo Int'l,NAT,terminal,SJJQ,NAT,http://en.wikipedia.org/wiki/Augusto_Severo_International_Airport,10.000,,Q2579272,,,,Augusto Severo International Airport,Aeropuerto Internacional Augusto Severo,,,,,Bandar Udara Internasional Augusto Severo,,アウグスト・セヴェロ国際空港,,,Port lotniczy Natal-Augusto Severo,Aeroporto Internacional Augusto Severo,Аугусту Северу,,,Sân bay quốc tế Augusto Severo,,"4","1159118529"
"POINT (-8.67127240719647 41.2368708920452)","8",Airport,major,Francisco Sa Carneiro,OPO,terminal,LPPR,OPO,http://en.wikipedia.org/wiki/Francisco_S%C3%A1_Carneiro_Airport,10.000,,Q943743,مطار بورتو الدولي,,Flughafen Porto,Francisco de Sá Carneiro Airport,Aeropuerto de Oporto-Francisco Sá Carneiro,aéroport de Porto,,,,Bandar Udara Internasional Francisco Sa Carneiro,Aeroporto Francisco de Sá Carneiro,フランシスコ・サ・カルネイロ空港,프란시스쿠 드 사 카르네이루 공항,Luchthaven Francisco Sá Carneiro,Port lotniczy Porto,Aeroporto Francisco Sá Carneiro,Порту,Porto flygplats,,Sân bay Francisco de Sá Carneiro,费尔南多·萨·卡内罗机场,"4","1159118545"
"POINT (-44.2362344700492 -2.58350921043018)","8",Airport,mid,Marechal Cunha Machado Int'l,SLZ,terminal,SBSL,SLZ,http://en.wikipedia.org/wiki/Marechal_Cunha_Machado_International_Airport,10.000,,Q587801,,,Flughafen Marechal Cunha Machado,Marechal Cunha Machado International Airport,,aéroport international Marechal Cunha Machado,,,,,,サンルイス,,Marechal Cunha Machado International Airport,,Aeroporto Internacional de São Luís,Маршал Кунья Мачаду,Marechal Cunha Machado International Airport,,Sân bay quốc tế Marechal Cunha Machado,馬拉查爾·坎華·馬查多國際機場,"4","1159118563"
"POINT (-46.3052704931003 -23.9237590410637)","8",Airport,military mid,Santos Air Force Base,SSZ,ramp,SBST,SSZ,http://en.wikipedia.org/wiki/Santos_Air_Force_Base,10.000,,Q18499978,,,,Santos Airbase,,,,,,,,サントス空軍基地,,,,Base Aérea de Santos,,,,,,"4","1159118581"
"POINT (-42.8212402317845 -5.06346299167191)","8",Airport,mid,Teresina-Senador Petronio Portella,THE,terminal,SBTE,THE,http://en.wikipedia.org/wiki/Teresina_Airport,10.000,,Q3312799,,,Flughafen Senador Petrônio Portella,Teresina Airport,,,,,,,,テレジナ,,Luchthaven Teresina,Port lotniczy Teresina,Aeroporto de Teresina,,Teresina Airport,,Sân bay Teresina,特雷西納機場,"4","1159118599"
"POINT (-47.1410791911014 -23.0096239085339)","8",Airport,mid,Viracopos-Campinas Int'l,VCP,terminal,SBKP,VCP,http://en.wikipedia.org/wiki/Viracopos-Campinas_International_Airport,10.000,,Q381653,,,Flughafen Viracopos,Viracopos International Airport,Aeropuerto Internacional de Campinas,aéroport international de Viracopos/Campinas,,,Viracopos-Campinas nemzetközi repülőtér,Bandar Udara Internasional Viracopos-Campinas,Aeroporto Internazionale Viracopos-Campinas,ヴィラコッポス国際空港,비라코푸스 캄피나스 국제공항,Luchthaven Viracopos,Port lotniczy Campinas-Viracopos,Aeroporto Internacional de Viracopos/Campinas,Виракопус,Viracopos International Airport,,Sân bay quốc tế Viracopos-Campinas,坎皮納斯,"4","1159118605"
"POINT (-40.2885368759913 -20.2574162759418)","8",Airport,mid,Eurico de Aguiar Salles,VIX,ramp,SBVT,VIX,http://en.wikipedia.org/wiki/Eurico_de_Aguiar_Salles_Airport,10.000,,Q2578887,,,Flughafen Eurico De Aguiar Salles,Eurico de Aguiar Salles Airport,Aeropuerto de Eurico de Aguiar Salles,,,,,,,ビトリア,,Luchthaven Eurico de Aguiar Salles,Port lotniczy Vitória-Eurico de Aguiar Salles,Aeroporto Eurico de Aguiar Salles,Эурику ди Ажияр Саллес,Eurico de Aguiar Salles Airport,,Sân bay Eurico de Aguiar Salles,,"4","1159118619"
"POINT (-0.557230440363588 38.2866408993929)","8",Airport,major,Alicante,ALC,terminal,LEAL,ALC,http://en.wikipedia.org/wiki/Alicante_Airport,10.000,,Q849314,,,Aeropuerto de Alicante,Alicante Airport,Aeropuerto de Alicante,aéroport d'Alicante,,,Alicante repülőtér,Bandar Udara Alicante,Aeroporto di Alicante,アリカンテ＝エルチェ空港,,Luchthaven Alicante,Port lotniczy Alicante,Aeroporto de Alicante-Elche,Аликанте,Alicante flygplats,Alicante Havalimanı,Sân bay Alicante,阿利坎特,"4","1159118637"
"POINT (-2.3716014405912 36.8477672709643)","8",Airport,mid,Almeria,LEI,terminal,LEAM,LEI,http://en.wikipedia.org/wiki/Almer%C3%ADa_Airport,10.000,,Q632277,,,Flughafen Almería,Almería Airport,Aeropuerto de Almería,aéroport d'Almeria,,,,,,アルメリア空港,,Luchthaven Almería,Port lotniczy Almería,,Альмерия,Almería Airport,Almería Havalimanı,Sân bay Almería,阿爾梅里亞,"4","1159118657"
"POINT (-0.473474930771676 39.4914597884489)","8",Airport,mid,Valencia,VLC,terminal,LEVC,VLC,http://en.wikipedia.org/wiki/Valencia_Airport,10.000,,Q20455825,مطار فالنسيا,,Valencia,Manises Airport,Aeropuerto de Valencia,aéroport de Valence,,,,Bandar Udara Valencia,Aeroporto di Valencia,バレンシア空港,,Luchthaven Valencia,Port lotniczy Walencja,Aeroporto de Valência,,Valencia flygplats,Valencia Havalimanı,Sân bay Valencia,巴倫西亞,"4","1159118675"
"POINT (20.3351522954898 67.8256066056432)","8",Airport,mid,Kiruna_Airport,KRN,terminal,ESNQ,KRN,http://en.wikipedia.org/wiki/Kiruna_Airport,10.000,,Q1431740,,,Flughafen Kiruna,Kiruna Airport,Aeropuerto de Kiruna,aéroport de Kiruna,,,,Bandar Udara Kiruna,,キルナ,,Luchthaven Kiruna,Port lotniczy Kiruna,Aeroporto de Kiruna,,Kiruna Airport,,Sân bay Kiruna,基律納機場,"4","1159118693"
"POINT (16.2339407695814 58.5833805017541)","8",Airport,major,Norrköping Airport,NRK,terminal,ESSP,NRK,http://en.wikipedia.org/wiki/Norrk%C3%B6ping_Airport,10.000,fixed name,Q580554,,,Flughafen Norrköping,Norrköping Airport,Aeropuerto de Norrköping,aéroport de Norrköping,,,,,,ノーショーピング空港,,Luchthaven Norrköping,Port lotniczy Norrköping,,,Norrköping flygplats,,Sân bay Norrköping,北雪平,"5","1159118709"
"POINT (107.575611852209 -6.90042408353409)","8",Airport,mid,Husein Sastranegara Int'l,BDO,runway,WICC,BDO,http://en.wikipedia.org/wiki/Husein_Sastranegara_International_Airport,10.000,,Q49249,,,Flughafen Bandung,Husein Sastranegara International Airport,,aéroport international de Bandung,,,,Bandar Udara Internasional Husein Sastranegara,aeroporto internazionale di Husein Sastranegara,フセイン・サストラネガラ空港,,Luchthaven Husein Sastranegara,Port lotniczy Bandung-Husein Sastranegara,,,Husein Sastranegara International Airport,,Sân bay quốc tế Husein Sastranegara,萬隆國際機場,"4","1159118727"
"POINT (-60.7800787216586 -32.9162269743812)","8",Airport,mid,Rosario – Islas Malvinas Int'l,ROS,terminal,SAAR,ROS,http://en.wikipedia.org/wiki/Rosario_%E2%80%93_Islas_Malvinas_International_Airport,10.000,,Q1432622,,,Flughafen Rosario,Rosario – Islas Malvinas International Airport,Aeropuerto Internacional Rosario Islas Malvinas,,,,,Bandar Udara Internasional Rosario – Islas Malvinas,,ロサリオ,,,Port lotniczy Rosario,Aeroporto Internacional Rosario Islas Malvinas,,Rosario International Airport,,,羅薩里奧,"4","1159118745"
"POINT (-35.7924951215833 -9.51494118540116)","8",Airport,mid,Maceio/Zumbi dos Palmares Int'l,MCZ,terminal,SBMO,MCZ,http://en.wikipedia.org/wiki/Zumbi_dos_Palmares_International_Airport,10.000,,Q2448604,,,Flughafen Zumbi Dos Palmares,Zumbi dos Palmares International Airport,Aeropuerto Internacional Zumbi dos Palmares,aéroport international Zumbi-dos-Palmares,,,,,Aeroporto di Maceió,マセイオ,,Luchthaven Zumbi dos Palmares,,Aeroporto Internacional Zumbi dos Palmares,Зумби-дус-Палмарис,Maceió/Zumbi dos Palmares International Airport,,Sân bay quốc tế Zumbi dos Palmares,,"4","1159118763"
"POINT (34.3901189267288 27.9804044199168)","8",Airport,mid,Sharm el-Sheikh Int'l,SSH,ramp,HESH,SSH,http://en.wikipedia.org/wiki/Sharm_el-Sheikh_International_Airport,10.000,,Q326268,مطار شرم الشيخ الدولي,,Flughafen Scharm asch-Schaich,Sharm el-Sheikh International Airport,Aeropuerto Internacional de Sharm el-Sheij,aéroport international de Charm el-Cheikh,,,,Bandar Udara Internasional Sharm el-Sheikh,Aeroporto Internazionale di Sharm el-Sheikh,シャルム・エル・シェイク国際空港,샤름엘셰이크 국제공항,Luchthaven Sharm-el-Sheikh,Port lotniczy Szarm el-Szejk,Aeroporto Internacional de Sharm el-Sheikh,Шарм-эш-Шейх,Sharm el-Sheik flygplats,,Sân bay quốc tế Sharm el-Sheikh,沙姆沙伊赫国际机场,"4","1159118779"
"POINT (34.7758378996779 29.5944990568019)","8",Airport,mid,Taba Int'l,TCP,terminal,HETB,TCP,http://en.wikipedia.org/wiki/Taba_International_Airport,10.000,,Q690636,مطار طابا الدولي,,Flughafen Taba International,Taba International Airport,Aeropuerto Internacional de Taba,aéroport international de Taba,,,Tábai nemzetközi repülőtér,Bandar Udara Internasional Taba,,タバ国際空港,타바 국제공항,Luchthaven Taba,Port lotniczy Taba,,,Taba International Airport,,Sân bay quốc tế Taba,塔巴國際機場,"4","1159118797"
"POINT (77.960909176509 27.15772773475)","8",Airport,major and military,Agra,AGR,runway,VIAG,AGR,http://en.wikipedia.org/wiki/Agra_Airport,10.000,,Q1849321,,,,Agra airport,,,,आगरा विमानक्षेत्र,,,,アーグラ空港,,,Port lotniczy Agra,,,Agra Airport,,Sân bay Agra,阿格拉機場,"4","1159118821"
"POINT (73.2262889533239 22.3361640021171)","8",Airport,mid,Vadodara,BDQ,runway,VABO,BDQ,http://en.wikipedia.org/wiki/Vadodara_Airport,10.000,,Q3274467,,ভডোদরা বিমানবন্দর,,Vadodara Airport,Aeropuerto de Vadodara,,,सिविल विमानक्षेत्र हारनी,,,,ヴァドーダラー空港,,,,,Вадодара,Vadodara Airport,,Sân bay Vadodara,巴羅達機場,"4","1159118843"
"POINT (47.1565835165639 34.3464167739108)","8",Airport,mid,Shahid Ashrafi Esfahani,KSH,runway,OICC,KSH,http://en.wikipedia.org/wiki/Shahid_Ashrafi_Esfahani_Airport,10.000,,Q1151984,,,,Kermanshah Airport,,,,,,Bandar Udara Kermanshah,,ケルマーンシャー,,,Port lotniczy Kermanszah,,,Shahid Ashrafi Esfahani Airport,Kirmanşah Havaalanı,Sân bay Shahid Ashrafi Esfahani,克爾曼沙赫,"4","1159118869"
"POINT (20.2680398018516 32.0872774606553)","8",Airport,mid,Benina Int'l,BEN,ramp,HLLB,BEN,http://en.wikipedia.org/wiki/Benina_International_Airport,10.000,,Q44553,مطار بنينا الدولي,,Flughafen Bengasi,Benina International Airport,Aeropuerto Internacional de Benina,aéroport international de Benina,,,,Bandar Udara Internasional Benina,Aeroporto di Benina,ベニナ空港,,Luchthaven Benina Internationaal,Port lotniczy Bengazi-Benina,Aeroporto Internacional de Benina,,Benina International Airport,,Sân bay quốc tế Benina,贝尼纳国际机场,"4","1159118875"
"POINT (50.1477245727844 26.2703680854768)","8",Airport,military major,King Abdulaziz AB,DHA,ramp,OEDR,DHA,http://en.wikipedia.org/wiki/Dhahran_International_Airport,10.000,"redirected here ""  (Redirected from King Abdul-Aziz Air Base (RSAF))""",Q1658031,مطار الظهران الدولي,বাদশাহ আব্দুল আজিজ বিমান ঘাটি,,King Abdulaziz Air Base,,,,,,,,キング・アブドラアジズ飛行場,,,,,,,,,Abdulaziz國王空軍基地,"5","1159118895"
"POINT (-57.9840821176492 -31.4373883387798)","8",Airport,mid,Nueva Hespérides Int'l,STY,runway,SUSO,STY,http://en.wikipedia.org/wiki/Nueva_Hesperides_International_Airport,10.000,,Q9074,,,Flughafen Nueva Hesperides,Nueva Hespérides International Airport,Aeropuerto Internacional de Salto,aéroport international de Nueva Hesperides,,,,Bandar Udara Internasional Nueva Hesperides,Aeroporto internazionale di Salto,ヌエバ・ヘスペリデス国際空港,,,Port lotniczy Salto,Aeroporto de Salto,Международный аэропорт Сальто,,,,,"4","1159118917"
"POINT (63.307354423875 45.9635739403124)","8",Airport,spaceport,Baikonur Cosmodrome,BAIK,approximate,,,http://en.wikipedia.org/wiki/Baikonur_Cosmodrome,10.000,,Q177477,مركز بايكونور الفضائي,বাইকোনুর কসমোপলিটন,Kosmodrom Baikonur,Baikonur Cosmodrome,Cosmódromo de Baikonur,Baïkonour,Κοσμοδρόμιο του Μπαϊκονούρ,बायकोनूर कॉसमोड्रोम,Bajkonuri űrrepülőtér,Kosmodrom Baykonur,cosmodromo di Bajkonur,バイコヌール宇宙基地,바이코누르 우주 기지,Kosmodroom Bajkonoer,Bajkonur,Cosmódromo de Baikonur,Байконур,Kosmodromen i Bajkonur,Baykonur Uzay Üssü,Sân bay vũ trụ Baykonur,拜科努尔航天发射场,"4","1159118931"
"POINT (-80.6369680911892 28.5163704772027)","8",Airport,spaceport,Kennedy Space Center,KSC,approximate,,,http://en.wikipedia.org/wiki/John_F._Kennedy_Space_Center,10.000,,Q48821,مركز كينيدي للفضاء,কেনেডি স্পেস সেন্টার,Kennedy Space Center,Kennedy Space Center,Centro espacial John F. Kennedy,centre spatial Kennedy,Διαστημικό Κέντρο Κένεντι,कैनेडी स्पेस सेंटर,Kennedy Űrközpont,Pusat Luar Angkasa Kennedy,John F. Kennedy Space Center,ケネディ宇宙センター,케네디 우주 센터,Kennedy Space Center,Centrum Kosmiczne imienia Johna F. Kennedy'ego,Centro Espacial John F. Kennedy,Космический центр Кеннеди,John F. Kennedy Space Center,Kennedy Uzay Merkezi,Trung tâm vũ trụ Kennedy,肯尼迪航天中心,"4","1159118961"
"POINT (-52.7684296893452 5.23941001258035)","8",Airport,spaceport,Centre Spatial Guyanais,CSG,terminal,,,http://en.wikipedia.org/wiki/Guiana_Space_Centre,10.000,,Q308987,مركز جويانا للفضاء,,Centre Spatial Guyanais,Guiana Space Centre,Puerto espacial de Kourou,centre spatial guyanais,Διαστημικό Κέντρο Γουιάνας,,Guyana Űrközpont,Pusat Antariksa Guyana,Centre spatial guyanais,ギアナ宇宙センター,기아나 우주 센터,Centre Spatial Guyanais,Gujańskie Centrum Kosmiczne,Centro Espacial de Kourou,Куру,Centre Spatial Guyanais,Guyana Uzay Merkezi,Trung tâm vũ trụ Guyane,蓋亞那太空中心,"4","1159118977"
"POINT (-70.0076228563496 12.5034643630297)","7",Airport,mid,Queen Beatrix Int'l,AUA,terminal,TNCA,AUA,http://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport,15.000,,Q1139661,,,Aeropuerto Internacional Reina Beatrix,Queen Beatrix International Airport,Aeropuerto Internacional Reina Beatriz,aéroport international Reine-Beatrix,,,,Bandar Udara Internasional Ratu Beatrix,Aeroporto Internazionale Regina Beatrice,クィーン・ベアトリクス国際空港,,Internationale luchthaven Koningin Beatrix,Port lotniczy Królowa Beatrix,Aeroporto Internacional Rainha Beatriz,Международный аэропорт имени королевы Беатрикс,Queen Beatrix International Airport,,Sân bay quốc tế Queen Beatrix,貝婭特麗克絲女王國際機場,"4","1159118987"
"POINT (43.1497127859956 11.5521018230172)","7",Airport,mid,Djibouti-Ambouli Int'l,JIB,terminal,HDAM,JIB,http://en.wikipedia.org/wiki/Djibouti-Ambouli_International_Airport,15.000,,Q620706,مطار جيبوتي الدولي,,Flughafen Dschibuti,Djibouti-Ambouli International Airport,Aeropuerto Internacional de Yibuti-Ambouli,aéroport international Ambouli,,,,Bandar Udara Internasional Djibouti-Ambouli,,ジブチ国際空港,,Luchthaven Ambouli Internationaal,Port lotniczy Dżibuti-Ambouli,Aeroporto Internacional de Djibouti-Ambouli,,Djibouti–Ambouli International Airport,,Sân bay quốc tế Djibouti-Ambouli,吉布提－安布利国际机场,"4","1159119005"
"POINT (-70.178635395533 -20.5478400878309)","7",Airport,mid and military,Diego Aracena Int'l,IQQ,terminal,SCDA,IQQ,http://en.wikipedia.org/wiki/Diego_Aracena_International_Airport,15.000,,Q1431221,,,Flughafen Diego Aracena,Diego Aracena International Airport,Aeropuerto Internacional Diego Aracena,aéroport d'Iquique,,,,Bandar Udara Internasional Diego Aracena,,ディエゴ・アラセナ国際空港,,Luchthaven Diego Aracena,Port lotniczy Diego Aracena,Aeroporto Internacional Diego Aracena,,Diego Aracena International Airport,,Sân bay quốc tế Diego Aracena,,"4","1159119023"
"POINT (29.3095991423889 40.9043003553957)","7",Airport,major,Sabiha Gökçen Havaalani,SAW,terminal,LTFJ,SAW,http://en.wikipedia.org/wiki/Sabiha_G%C3%B6k%C3%A7en_International_Airport,15.000,,Q723622,مطار صبيحة كوكجن الدولي,,Flughafen Istanbul-Sabiha Gökçen,Sabiha Gökçen International Airport,Aeropuerto Internacional Sabiha Gökçen,aéroport international Sabiha-Gökçen,Διεθνές Αεροδρόμιο Σαμπιχά Γκιοκτσέν,,Sabiha Gökçen nemzetközi repülőtér,Bandar Udara Internasional Sabiha Gökçen,Aeroporto Internazionale Sabiha Gökçen,サビハ・ギョクチェン国際空港,사비하 괵첸 국제공항,Luchthaven Istanboel Sabiha Gökçen,Port lotniczy Stambuł-Sabiha Gökçen,Aeroporto Internacional Sabiha Gökçen,Аэропорт имени Сабихи Гёкчен,,Sabiha Gökçen Havalimanı,Sân bay quốc tế Sabiha Gökçen,萨比哈·格克琴国际机场,"4","1159119041"
"POINT (162.957041225076 5.3520098571828)","7",Airport,mid,Kosrae Island,KSA,ramp,PTSA,KSA,http://en.wikipedia.org/wiki/Kosrae_International_Airport,15.000,,Q598642,,,Flughafen Kosrae,Kosrae International Airport,Aeropuerto Internacional de Kosrae,aéroport international de Kosrae,,,,,Aeroporto Internazionale di Kosrae,コスラエ国際空港,코스라에 국제공항,Kosrae International Airport,Port lotniczy Kosrae,,,Kosrae Airport,,,科斯雷國際機場,"4","1159119061"
"POINT (179.19544202302 -8.52485415059424)","7",Airport,mid,Funafuti Int'l,FUN,ramp,NGFU,FUN,http://en.wikipedia.org/wiki/Funafuti_International_Airport,15.000,,Q1327938,,,Flughafen Funafuti,Funafuti International Airport,Aeropuerto Internacional de Funafuti,Aéroport international de Funafuti,,,,Bandar Udara Internasional Funafuti,,フナフティ国際空港,푸나푸티 국제공항,,Port lotniczy Funafuti,,,,,,富納富提國際機場,"4","1159119077"
"POINT (79.0537976421986 21.0899317630087)","7",Airport,mid,Dr. Babasaheb Ambedkar Int'l,NAG,terminal,VANP,NAG,http://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,15.000,,Q1657780,,ডাঃ বাবাসাহেব আম্বেদকর আন্তর্জাতিক বিমানবন্দর,,Dr. Babasaheb Ambedkar International Airport,Aeropuerto Internacional Dr. Babasaheb Ambedkar,aéroport international Dr. Babasaheb Ambedkar de Nagpur,,डॉ.बाबासाहब अंबेडकर अंतर्राष्ट्रीय विमानक्षेत्र,,,,ドクター・バーバーサーヒブ・アンベードカル国際空港,,,Port lotniczy Nagpur,,Международный аэропорт имени Бхимрао Рамджи Амбедкара,Dr. Babasaheb Ambedkar International Airport,,Sân bay quốc tế Dr. Babasaheb Ambedkar,巴巴萨海布·阿姆倍伽尔博士国际机场,"4","1159119091"
"POINT (98.3060384900559 8.10768475952735)","7",Airport,mid,Phuket Int'l,HKT,terminal,VTSP,HKT,http://en.wikipedia.org/wiki/Phuket_International_Airport,15.000,,Q240694,,,Flughafen Phuket,Phuket International Airport,Aeropuerto Internacional de Phuket,aéroport international de Phuket,,,Phuketi nemzetközi repülőtér,Bandar Udara Internasional Phuket,Aeroporto di Phuket,プーケット国際空港,푸껫 국제공항,Internationale Luchthaven Phuket,Port lotniczy Phuket,,Пхукет,Phuket International Airport,Phuket Uluslararası Havalimanı,Sân bay quốc tế Phuket,布吉國際機場,"4","1159119115"
"POINT (177.451151198059 -17.7529129479792)","7",Airport,mid,Nadi Int'l,NAN,terminal,NFFN,NAN,http://en.wikipedia.org/wiki/Nadi_International_Airport,15.000,,Q1150557,,,Flughafen Nadi,Nadi International Airport,Aeropuerto Internacional de Nadi,aéroport international de Nadi,,,,Bandar Udara Internasional Nadi,Aeroporto internazionale di Nadi,ナンディ国際空港,난디 국제공항,Nadi International Airport,Port lotniczy Nadi,Aeroporto Internacional de Nadi,Нанди,Nadi International Airport,,Sân bay quốc tế Nadi,楠迪國際機場,"4","1159119125"
"POINT (-102.314093740058 21.7013390329207)","7",Airport,mid,Lic. Jesús Terán Peredo Int'l,AGU,terminal,MMAS,AGU,http://en.wikipedia.org/wiki/Lic._Jes%C3%BAs_Ter%C3%A1n_Peredo_International_Airport,15.000,,Q2593243,,,,Lic. Jesús Terán Peredo International Airport,Aeropuerto Internacional Licenciado Jesús Terán Peredo,aéroport international d'Aguascalientes,,,,Bandar Udara Internasional Lic. Jesús Terán Peredo,,アグアスカリエンテス国際空港,,,Port lotniczy Aguascalientes,,Агуаскальентес,Lic. Jesús Terán Peredo International Airport,,Sân bay quốc tế Lic. Jesús Terán Peredo,Lic. Jesús Terán Peredo國際機場,"4","1159119145"
"POINT (8.12314535436409 44.0458773598158)","7",Airport,mid,Albenga,ALL,ramp,LIMG,ALL,http://en.wikipedia.org/wiki/Villanova_d'Albenga_International_Airport,15.000,,Q1054212,,,Riviera Airport,Albenga Airport,,aéroport d'Albenga,,,,,Aeroporto di Albenga,,,Albenga Airport,,,,,,,阿爾本加機場,"4","1159119157"
"POINT (35.989707162193 31.7226621600432)","7",Airport,major,Queen Alia Int'l,AMM,terminal,OJAI,AMM,http://en.wikipedia.org/wiki/Queen_Alia_International_Airport,15.000,,Q721494,مطار الملكة علياء الدولي,,Queen Alia International Airport,Queen Alia International Airport,Aeropuerto Internacional Queen Alia,aéroport international Queen Alia,,क्वीन एलिया हवाई अड्डा,Queen Alia nemzetközi repülőtér,Bandar Udara Internasional Queen Alia,Aeroporto Internazionale Queen Alia,クィーンアリア国際空港,퀸 알리아 국제공항,Queen Alia International Airport,Port lotniczy Amman,Aeroporto Internacional Rainha Alia,Амман,Queen Alia International Airport,Kraliçe Aliye Uluslararası Havalimanı,Sân bay quốc tế Queen Alia,阿勒娅王后国际机场,"4","1159119169"
"POINT (-70.3357301410959 -18.3492061639579)","7",Airport,mid,Chacalluta Int'l,ARI,terminal,SCAR,ARI,http://en.wikipedia.org/wiki/Chacalluta_Airport,15.000,,Q948809,,,,Chacalluta International Airport,Aeropuerto Internacional Chacalluta,aéroport d'Arica Chacalluta,,,,Bandar Udara Internasional Chacalluta,,チャカユタ空港,,Luchthaven Chacalluta,Port lotniczy Chacalutta,Aeroporto Internacional Chacalluta,,Chacalluta Arica Airport,,Sân bay quốc tế Chacalluta,Chacalluta國際機場,"4","1159119187"
"POINT (-13.0511704323315 20.4982706101565)","7",Airport,mid,Atar Int'l,ATR,terminal,GQPA,ATR,http://en.wikipedia.org/wiki/Atar_International_Airport,15.000,,Q2670961,مطار أطار الدولي,,,Atar International Airport,Aeropuerto Internacional de Atar,aéroport international d'Atar,,,,Bandar Udara Internasional Atar,,アタール国際空港,,,Port lotniczy Atar,,,Atar,,Sân bay quốc tế Atar,阿塔尔国际机场,"4","1159119205"
"POINT (-74.776555978265 10.8866775959414)","7",Airport,mid,Ernesto Cortissoz Int'l,BAQ,terminal,SKBQ,BAQ,http://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport,15.000,,Q645151,,,Flughafen Barranquilla,Ernesto Cortissoz International Airport,Aeropuerto Internacional Ernesto Cortissoz,aéroport international Ernesto Cortissoz,,,,Bandar Udara Internasional Ernesto Cortissoz,Aeroporto di Barranquilla-Ernesto Cortissoz,バランキージャ,,Ernesto Cortissoz International Airport,Port lotniczy Ernesto Cortissoz,Aeroporto Internacional Ernesto Cortissoz,Барранкилья,Ernesto Cortissoz International Airport,,Sân bay quốc tế Ernesto Cortissoz,Ernesto Cortissoz國際機場,"4","1159119223"
"POINT (-71.1614300869763 -41.1459976958105)","7",Airport,mid,Teniente Luis Candelaria Int'l,BRC,terminal,SAZS,BRC,http://en.wikipedia.org/wiki/San_Carlos_de_Bariloche_Airport,15.000,,Q370274,,,Flughafen Bariloche,San Carlos de Bariloche Airport,Aeropuerto Internacional Teniente Luis Candelaria,,,,,Bandar Udara Internasional Teniente Luis Candelaria,Aeroporto Internazionale di San Carlos de Bariloche,サン・カルロス・デ・バリローチェ空港,,San Carlos de Bariloche Airport,Port lotniczy Bariloche,Aeroporto Internacional Teniente Luis Candelaria,,Bariloche Aerodrome,,Sân bay quốc tế Teniente Luis Candelaria,聖卡洛斯-德巴里洛切機場,"4","1159119237"
"POINT (-5.06894222275311 7.73610495555032)","7",Airport,mid,Bouaké,BYK,terminal,DIBK,BYK,http://en.wikipedia.org/wiki/Bouak%C3%A9_Airport,15.000,,Q2519198,مطار بواكي,,,Bouaké Airport,Aeropuerto de Bouaké,aéroport de Bouaké,,,,,,ブアケ空港,,Luchthaven Bouaké,Port lotniczy Bouaké,,,Bouaké Airport,,,布瓦凱機場,"4","1159119257"
"POINT (-88.3082064033075 17.5360686575521)","7",Airport,major,Philip S. W. Goldson Int'l,BZE,terminal,MZBZ,BZE,http://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport,15.000,,Q1422858,,,Philip S. W. Goldson International Airport,Philip S. W. Goldson International Airport,Aeropuerto Internacional Philip S. W. Goldson,aéroport international Philip S. W. Goldson,,,,Bandar Udara Internasional Philip S. W. Goldson,Aeroporto Internazionale Philip S. W. Goldson,フィリップス・S・W・ゴールドソン国際空港,,Philip S. W. Goldson International Airport,Port lotniczy Philip S. W. Goldson,Aeroporto Internacional Philip S. W. Goldson,,Belize International Airport,,,菲利普戈尔德森国际机场,"4","1159119267"
"POINT (-97.5022678710298 27.7744560700823)","7",Airport,major,Corpus Christi Int'l,CRP,terminal,KCRP,CRP,http://en.wikipedia.org/wiki/Corpus_Christi_International_Airport,15.000,,Q1656909,,,,Corpus Christi International Airport,,,,,,,,コーパスクリスティ国際空港,,Internationale luchthaven Corpus Christi,,,,Corpus Christi International Airport,,,聖體市機場,"4","1159119285"
